# Isothermal calorimetry of a CEM I paste — calibration target
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 122-CEM I 52.5 R Cizkovice-397.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: Cizkovice 52.5R
# blaine: 397 m2/kg
# wb: 0.50
# temperature: 20C
# Truncated from line: 3 with assigned time: 0.75 h normalized with binder mass: 6.77 g
# Released heat up to 45 minutes (J/g of binder): 12.0 estimated
# reference fit by the depositors: Fitted affinity hydration model, B1 1.283304 h^-1, B2 9.275e-04, eta 5.6682, DoHInf 0.85, Qpot 500.0 J/g, Ea 38300.0 J/mol
#
# Subset of the source record: 485 of 12320 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
1.5488905639118618,0.0007815617658349465,1.6582322093408828,0.2942
1.5683758838971456,0.0007789257091487988,1.7129640853504373,0.3146
1.584340111149682,0.000777005824961123,1.7576747256302905,0.3359
1.6003043384022182,0.0007750922642383574,1.8022752095358643,0.3359
1.6234360647201538,0.0007726426453508403,1.866718414150262,0.3581
1.6488130962848664,0.0007699552516398989,1.93718221409273,0.3814
1.6663886645767423,0.0007682535935794954,1.9858450243841077,0.3814
1.692359497944514,0.0007657391099962765,2.0575553483896067,0.4056
1.7153854933049941,0.0007638518938039391,2.1209519880320915,0.431
1.7421993368864057,0.0007616542246481248,2.1945804164288796,0.4575
1.7616667518350813,0.0007602842005475595,2.2479111887581924,0.4575
1.7811341667175293,0.0007589486705251532,2.3011471546457978,0.4853
1.801341600815455,0.0007575922104705191,2.356308874482952,0.4853
1.8215490349133807,0.0007565146188559469,2.4113820596304527,0.5143
1.8416550081306031,0.0007554512103002008,2.466101239669917,0.5448
1.8623577766286004,0.0007544355988465072,2.522367146392216,0.5448
1.8845226878590053,0.0007533555041979342,2.58252324710757,0.5766
1.909850615196758,0.000752422721196713,2.6511720817707887,0.6101
1.9404589377509223,0.0007512954705301389,2.734019406368081,0.6451
1.9577659504943425,0.0007508886484584259,2.7808163818106184,0.6451
1.9784438999493918,0.0007504025884802658,2.8366949055771267,0.6819
1.9995438108179302,0.0007499227652213956,2.893677021803571,0.6819
2.020643721686469,0.0007495513017853221,2.9506268062979197,0.7205
2.0414607336786057,0.0007491982873335086,3.0067858850037337,0.7205
2.0622777455382875,0.0007491027201141501,3.0629281547182736,0.761
2.07673933201366,0.0007491003835612933,3.1019276634529267,0.761
2.1078114219506583,0.0007492270470649562,3.1857287598760093,0.8037
2.1279597096310723,0.0007494340132700553,3.2400805773983246,0.8037
2.1481079973114863,0.0007496409794751544,3.2944474069733456,0.8485
2.167372763289346,0.0007501419842549449,3.3464547490382595,0.8485
2.1920992930730185,0.0007507850291600056,3.413257638738842,0.8956
2.2167406193415324,0.0007515003376737502,3.4798905857094584,0.9453
2.2413819456100463,0.0007522488923537872,3.5465884614351015,0.9453
2.267713459862603,0.0007532401399574077,3.617943712075568,0.9975
2.2947765821880766,0.0007543997046139244,3.691386306841073,1.0526
2.3162881463103826,0.0007554534118345186,3.7498490506746127,1.0526
2.344054627749655,0.00075681850891726,3.825431897068249,1.1107
2.392573676837815,0.0007588803310825228,3.9578043766257203,1.172
2.4097391549746194,0.0007594079705045974,4.004716236988987,1.172
2.4269046330451967,0.0007598826900466355,4.051659067918732,1.2368
2.4726965097586313,0.0007605232681214954,4.176982946801174,1.3051
2.4956969463162952,0.000761391589818618,4.239991417846366,1.3051
2.518697382873959,0.0007632135673051922,4.3031112693918105,1.3774
2.540204199088944,0.0007649172277923897,4.362268680084531,1.3774
2.556938295629289,0.0007696443237822872,4.408491782156606,1.3774
2.5919402587413787,0.0007795317795565974,4.506095350838362,1.4538
2.6469841784238817,0.0008053481811581172,4.663123760313543,1.5347
2.6702412231763204,0.0008178229355104177,4.731074054255751,1.6203
2.6891297478808296,0.0008280891165557412,4.787033985078173,1.6203
2.7123867926332683,0.0008409732391609993,4.8569054093009,1.7111
