# Isothermal calorimetry of a CEM I paste — holdout
#
# Source dataset: Šmilauer V., Reiterman P. (2025), Isothermal calorimetry
#   database of 65 cements and approximations. Zenodo.
#   doi: 10.5281/zenodo.15212785
#   license: CC-BY-4.0  <https://creativecommons.org/licenses/by/4.0/>
#   source file: 116-CEM I 52.5 R Ladce-415.csv
#
# Companion article, to be cited (CC BY-NC-ND 3.0 — cite, do not reproduce):
#   Šmilauer V., Edelmannová J., Reiterman P., Isothermal calorimetry database
#   of 65 cements with analytical approximations, Ceramics-Silikáty 70(1),
#   25-33 (2026). doi: 10.13168/cs.2025.0048
#
# cement: CEM I 42.5R Ladce-415
# blaine: 415 m2/kg
# wb: 0.45
# temperature: 20C
# Truncated from line: 2 with assigned time: 0.75 h normalized with binder mass: 20.483 g
# Released heat up to 45 minutes (J/g of binder): 12.0 estimated
# reference fit by the depositors: Fitted affinity hydration model, B1 1.078123 h^-1, B2 1.370e-03, eta 7.1694, DoHInf 0.85, Qpot 500.0 J/g, Ea 38300.0 J/mol
#
# Subset of the source record: 458 of 11951 rows, chosen as
#   the rows nearest to 500 log-spaced times. Values are verbatim; no
#   interpolation, no smoothing. Regenerate with data/experimental/regenerate.jl
#
# The fourth column is NOT a measurement: it is the depositors' own
#   affinity-model fit, read off their tabulated curve at the row nearest
#   in time. It is carried so that a fit can be judged against somebody
#   else's on the very same record.
#
# columns: hydration time (h), heat flow (W/g of binder), heat (J/g of
#   binder), depositors' fitted heat (J/g of binder)
time_h,heat_flow_W_per_g,heat_J_per_g,reference_fit_J_per_g
2.4492883197466533,0.0009111817550937511,4.038877519221188,1.1218
2.500859852565659,0.0009207948190341142,4.208937631250501,1.1919
2.552431385384666,0.000930407928028078,4.380782485055057,1.266
2.6040029181374447,0.0009407177141919796,4.554476756271226,1.3444
2.6555744509564505,0.0009510275462987439,4.730085121287099,1.4273
2.7071459837754563,0.0009620291939974024,4.907671804527345,1.5152
2.758717516528235,0.000973030889079675,5.087301030542752,1.5152
2.810289049281014,0.00098468928773835,5.269033764937936,1.6083
2.8618605821000207,0.0009963477331019985,5.45293097326262,1.707
2.9134321149190265,0.0010086624083283703,5.639053576622809,1.8118
2.9650036476718054,0.001020977131892735,5.827462496267534,1.923
3.016575180490811,0.0010339582576327242,6.018219598454862,2.0413
3.068146713309818,0.0010469394341990094,6.211386748947994,2.167
3.1197182460625967,0.001060584248690075,6.407025556898863,2.167
3.1712897788816026,0.0010742291155290938,6.605197632354369,2.3007
3.2228613117006084,0.0010885156342713164,6.805962543672606,2.443
3.2744328444533872,0.0011028022052517394,7.009379859191487,2.5947
3.326004377206166,0.0011177774038388035,7.215513508464145,2.5947
3.3775759100251728,0.0011327526603078185,7.424427421578083,2.7563
3.4291474428441786,0.001148336608688793,7.636178107756536,2.9288
3.4807189755969574,0.001163920609769563,7.85082207573077,3.1128
3.532290508415964,0.0011800684396221072,8.068411670469342,3.1128
3.58386204123497,0.001196216319766577,8.288999235890351,3.3093
3.635433573987749,0.0012129321643144651,8.512637499805919,3.5193
3.6870051068067546,0.0012296480610131256,8.739379191062286,3.5193
3.7385766396257614,0.0012469568548450917,8.969279352118498,3.7438
3.79014817237854,0.0012642657046054897,9.2023930257721,3.984
3.841719705131319,0.0012821745445335579,9.438775913852743,3.984
3.893291237950325,0.0013000834426559512,9.678483718413013,4.241
3.9448627707693316,0.0013185373669856624,9.921567038657953,4.5163
3.9964343035221104,0.0013369913455439425,10.16807647341145,4.5163
4.048005836341116,0.0013559726739293552,10.418060981570655,4.8111
4.099577369160122,0.001374954056171022,10.671569521048465,4.8111
4.151148901912901,0.0013944415241154934,10.928649075821928,5.1272
4.202720434731908,0.0014139290450775083,11.189346630780653,5.466
4.254291967550913,0.001433848897868583,11.453702323343247,5.466
4.357435033056471,0.0014740371897081083,11.993540886505658,5.8294
4.409006565875477,0.0014943056207136062,12.26908846610396,6.2193
4.460578098694484,0.0015149141888773758,12.548430606809829,6.6377
4.512149631447262,0.0015355227952694708,12.83159888631862,6.6377
4.563721164266268,0.0015564179613606936,13.118619909887574,7.0868
4.615292697085275,0.0015773131604218593,13.409520281194887,7.0868
4.666864229838054,0.0015984839950777643,13.704325589832742,7.5687
4.71843576265706,0.0016196548621866408,14.003061426481095,7.5687
4.7700072954760655,0.0016410229988429216,14.30574610606122,8.0861
4.873150360981623,0.0016839744088112615,14.923036905352852,8.6414
4.92472189380063,0.0017055576848770226,15.237682963452151,8.6414
4.976293426619636,0.0017273514696005917,15.556355660276806,9.2373
5.0278649593724145,0.0017491452806936228,15.879074539117715,9.2373
5.07943649219142,0.001771101771234442,16.205854704582844,9.8767
5.182579557763206,0.0018151339140899524,16.871655263211213,10.5625
5.234151090582212,0.0018372095611659599,17.210697775732008,10.5625
5.2857226234012185,0.0018593682628597781,17.55384650795757,11.2977
5.337294156153997,0.0018815269755843276,17.90110917032301,11.2977
5.440437221725782,0.001925936985997773,18.60799347883274,12.0854
5.492008754544788,0.0019481370766590493,18.967618966630756,12.0854
5.543580287297567,0.0019703371666115648,19.331366067630707,12.9288
5.646723352935579,0.0020147042618300776,20.071218969170204,13.8311
5.698294885688358,0.002036825096416803,20.447317411366015,13.8311
5.749866418507364,0.0020589459220328676,20.827522752460812,14.7955
5.853009484079149,0.002102919801281071,21.600204414837613,15.8251
5.904581016831928,0.0021247755028395146,21.992656123159016,15.8251
6.00772408246994,0.0021682761013252466,22.78971299438674,16.923
6.059295615222719,0.0021899209858265434,23.194279021268343,16.923
6.162438680794504,0.00223280198417523,24.015390793728287,18.0921
6.21401021361351,0.00225397141598979,24.431892400712783,18.0921
6.317153279251523,0.0022959954078287824,25.276657170166192,19.335
6.368724812004301,0.0023168499601709486,25.704861880928938,20.6544
6.471867877576086,0.002357768320412438,26.57273991456662,20.6544
6.523439410395093,0.0023778045093090627,27.01233726385522,22.0522
6.62658247590065,0.0024174469957061835,27.902651649417702,22.0522
6.729725541538662,0.0024561746306579657,28.807521162798466,23.5304
6.781297074357669,0.002475295888153447,29.26530345147079,25.0904
6.8844401399294535,0.002512519302267589,30.191328848245206,25.0904
6.987583205501238,0.0025486236706631915,31.130968100054112,26.733
7.039154738320245,0.0025661051594665432,31.605762030356154,26.733
7.1422978038258025,0.002600466862556922,32.56503076486655,28.4586
7.245440869463815,0.0026335466825741886,33.536827908377674,30.2672
7.297012402282821,0.0026497461711380735,34.02726942781343,30.2672
7.4001554678546055,0.002680945398256998,35.01695240426055,32.158
7.503298533426391,0.0027110256501869526,36.01801237613428,32.158
7.606441598998176,0.002740195450271861,37.0300725639033,34.1297
7.70958466456996,0.0027691341146773925,38.05292101900237,36.1805
7.812727730207973,0.002799128647413461,39.08671085424387,36.1805
7.915870795779758,0.002831407023123207,40.13206211104559,38.308
7.967442328532537,0.0028484625602457447,40.65931735549601,38.308
8.070585394170548,0.002882711351326495,41.723340130004544,40.5092
8.173728459676106,0.0029166587363192724,42.80007752023427,42.7807
8.27687152531412,0.0029493439990738446,43.88922143972129,42.7807
8.38001459095213,0.002980117828934892,44.99017160061683,45.1186
8.483157656457688,0.003008488480950469,46.10212343134569,45.1186
8.63787225484848,0.0030459875001192347,47.78849821989623,47.5186
8.741015320420264,0.0030666497157696517,48.92335530756353,49.9762
8.844158386058277,0.0030837711680535627,50.065227220748135,49.9762
8.94730145163006,0.0030972321181415388,51.21277698778655,52.4866
9.050444517201846,0.0031071914110156816,52.36467489777632,52.4866
9.153587582773632,0.0031138421198087817,53.519656577819916,55.0447
9.308302181164423,0.003117667138671361,55.25530936299755,57.6456
9.411445246802435,0.0031170442187190414,56.4129495864151,57.6456
9.514588312307993,0.0031140114257535963,57.56989637401637,60.2841
9.617731377946004,0.0031088325356672494,58.72530884658884,60.2841
9.77244597627057,0.003097740422907074,60.45392067613827,62.9551
9.875589041908581,0.003088076302496707,61.6023640762551,65.6537
10.030303640233145,0.0030708615436361923,63.317660766624705,65.6537
10.133446705871158,0.0030580241963339646,64.45558277564326,68.375
10.236589771376716,0.0030442288445867707,65.5885525411229,68.375
10.391304369833733,0.00302211057998844,67.27801618637648,71.1143
10.494447435405519,0.003006353293457929,68.39724583585125,73.8673
10.64916203379631,0.0029816284965974884,70.06485779922639,73.8673
10.803876632120874,0.0029560662927783058,71.71846083864281,76.6297
10.907019697758885,0.002938614010253987,72.81285255752246,76.6297
11.061734296083449,0.0029118843803651474,74.44215613851834,79.3976
11.21644889447424,0.0028847266877972057,76.0564524437134,82.1673
11.319591960046026,0.0028663814099282644,77.12418890128221,82.1673
11.474306558503043,0.0028387972434465386,78.71300426955959,84.9355
